,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Airport IATA,Year,Type ,Month ,Arrival/Departure,Destination_City ,Pax,ATMs,,,,,,,,
,DMM,2025,International,Jun,Departure,Kochi," 4,065 ", 34 ,,,,,,,,
,DMM,2025,International,Jul,Departure,Kochi," 7,988 ", 51 ,,,,,,,,
,DMM,2025,International,Aug,Departure,Kochi," 5,491 ", 53 ,,,,,,,,
,DMM,2025,International,Sep,Departure,Kochi," 3,297 ", 40 ,,,,,,,,
,DMM,2025,International,Oct,Departure,Kochi," 2,358 ", 14 ,,,,,,,,
,DMM,2025,International,Jan,Arrival,Colombo," 3,317 ", 22 ,,,,,,,,
,DMM,2025,International,Feb,Arrival,Colombo," 3,146 ", 20 ,,,,,,,,
,DMM,2025,International,Mar,Arrival,Colombo," 2,747 ", 23 ,,,,,,,,
,DMM,2025,International,Apr,Arrival,Colombo," 4,529 ", 30 ,,,,,,,,
,DMM,2025,International,May,Arrival,Colombo," 4,005 ", 31 ,,,,,,,,
,DMM,2025,International,Jun,Arrival,Colombo," 3,841 ", 30 ,,,,,,,,
,DMM,2025,International,Jul,Arrival,Colombo," 4,455 ", 31 ,,,,,,,,
,DMM,2025,International,Aug,Arrival,Colombo," 5,613 ", 31 ,,,,,,,,
,DMM,2025,International,Sep,Arrival,Colombo," 5,394 ", 30 ,,,,,,,,
,DMM,2025,International,Oct,Arrival,Colombo," 5,293 ", 31 ,,,,,,,,
,DMM,2025,International,Jan,Departure,Colombo," 2,773 ", 22 ,,,,,,,,
,DMM,2025,International,Feb,Departure,Colombo," 2,777 ", 20 ,,,,,,,,
,DMM,2025,International,Mar,Departure,Colombo," 3,204 ", 23 ,,,,,,,,
,DMM,2025,International,Apr,Departure,Colombo," 4,821 ", 30 ,,,,,,,,
,DMM,2025,International,May,Departure,Colombo," 4,885 ", 31 ,,,,,,,,
,DMM,2025,International,Jun,Departure,Colombo," 4,693 ", 30 ,,,,,,,,
,DMM,2025,International,Jul,Departure,Colombo," 5,568 ", 31 ,,,,,,,,
,DMM,2025,International,Aug,Departure,Colombo," 4,675 ", 31 ,,,,,,,,
,DMM,2025,International,Sep,Departure,Colombo," 3,975 ", 30 ,,,,,,,,
,DMM,2025,International,Oct,Departure,Colombo," 4,589 ", 31 ,,,,,,,,
,DMM,2025,International,Jan,Arrival,Delhi," 11,687 ", 57 ,,,,,,,,
,DMM,2025,International,Feb,Arrival,Delhi," 10,525 ", 51 ,,,,,,,,
,DMM,2025,International,Mar,Arrival,Delhi," 10,614 ", 58 ,,,,,,,,
,DMM,2025,International,Apr,Arrival,Delhi," 11,163 ", 56 ,,,,,,,,
